"","District","date","Event.Type","Number of victims","Territorial.Authority","ANZSOC.Group"
"4798",NA,"1/12/19",NA,198063,"Kawerau District.","Serious Assault Resulting in Injury"
"4799",NA,"1/12/19",NA,198064,"Manawatu District.","Common Assault"
"4800",NA,"1/12/19",NA,198068,"Timaru District.","Serious Assault Resulting in Injury"
"4801",NA,"1/12/19",NA,198074,"Southland District.","Common Assault"
"4802",NA,"1/12/19",NA,198076,"Auckland.","Serious Assault Not Resulting in Injury"
"4803",NA,"1/12/19",NA,198078,"Auckland.","Serious Assault Resulting in Injury"
"4804",NA,"1/12/19",NA,198088,"New Plymouth District.","Serious Assault Resulting in Injury"
"4805",NA,"1/12/19",NA,198095,"Tauranga City.","Aggravated Sexual Assault"
"4806",NA,"1/9/19",NA,198939,"Auckland.","Common Assault"
"4807",NA,"1/9/19",NA,198941,"Lower Hutt City.","Serious Assault Not Resulting in Injury"
"4808",NA,"1/9/19",NA,198944,"Far North District.","Common Assault"
"4809",NA,"1/9/19",NA,198948,"Dunedin City.","Serious Assault Resulting in Injury"
"4810",NA,"1/9/19",NA,198949,"Grey District.","Common Assault"
"4811",NA,"1/9/19",NA,198958,"Auckland.","Serious Assault Resulting in Injury"
"4812",NA,"1/9/19",NA,198963,"Palmerston North City.","Serious Assault Resulting in Injury"
"4813",NA,"1/9/19",NA,198964,"Dunedin City.","Common Assault"
"4814",NA,"1/5/18",NA,202449,"Kaipara District.","Common Assault"
"4815",NA,"1/5/18",NA,202458,"Auckland.","Serious Assault Resulting in Injury"
"4816",NA,"1/5/18",NA,202459,"Invercargill City.","Common Assault"
"4817",NA,"1/5/18",NA,202473,"Wellington City.","Serious Assault Resulting in Injury"
"4818",NA,"1/5/18",NA,202474,"Hastings District.","Common Assault"
"4819",NA,"1/5/18",NA,202481,"Auckland.","Serious Assault Not Resulting in Injury"
"4820",NA,"1/6/19",NA,203341,"Auckland.","Serious Assault Not Resulting in Injury"
"4821",NA,"1/6/19",NA,203343,"Napier City.","Serious Assault Resulting in Injury"
"4822",NA,"1/6/19",NA,203344,"Wellington City.","Common Assault"
"4823",NA,"1/6/19",NA,203351,"Whakatane District.","Serious Assault Not Resulting in Injury"
"4824",NA,"1/6/19",NA,203354,"Ruapehu District.","Common Assault"
"4825",NA,"1/6/19",NA,203359,"Auckland.","Common Assault"
"4826",NA,"1/6/19",NA,203361,"Christchurch City.","Serious Assault Not Resulting in Injury"
"4827",NA,"1/6/19",NA,203366,"Rotorua District.","Serious Assault Not Resulting in Injury"
"4828",NA,"1/6/19",NA,203368,"Gisborne District.","Serious Assault Resulting in Injury"
"4829",NA,"1/6/19",NA,203369,"Waikato District.","Common Assault"
