"","month","year","Event","Area.Unit","Meshblock","Territorial.Authority","Alert.Level","Location","No"
"2899","4","19","Common Assault","Hawera South.",1646100,"South Taranaki District.",3,"West Coast/ Upper-Central North",NA
"2900","4","19","Common Assault","Willis Street-Cambridge Terrace.",2133500,"Wellington City.",3,"Wellington/ Lower-Central North",NA
"2901","4","19","Serious Assault Not Resulting in Injury","Porirua Central.",2052400,"Porirua City.",3,"Wellington/ Lower-Central North",NA
"2902","4","19","Serious Assault Not Resulting in Injury","Karekare.",303400,"Auckland.",3,"Auckland",NA
"2903","4","19","Serious Assault Resulting in Injury","Whangarei Central.",101700,"Whangarei District.",3,"Northland",NA
"2904","4","19","Serious Assault Resulting in Injury","Glen Innes West.",476100,"Auckland.",3,"Auckland",NA
"2905","4","19","Common Assault","Auckland Harbourside.",437903,"Auckland.",3,"Auckland",NA
"2906","4","19","Common Assault","Auckland Harbourside.",438209,"Auckland.",3,"Auckland",NA
"2907","4","19","Common Assault","Huntly West.",946200,"Waikato District.",3,"Waikato",NA
"2908","4","19","Common Assault","Tuakau.",839200,"Waikato District.",3,"Waikato",NA
"2909","4","19","Serious Assault Not Resulting in Injury","Porirua East.",2053900,"Porirua City.",3,"Wellington/ Lower-Central North",NA
"2910","4","19","Serious Assault Not Resulting in Injury","Royal Road West.",224900,"Auckland.",3,"Auckland",NA
"2911","4","19","Serious Assault Resulting in Injury","South Dunedin.",2932200,"Dunedin City.",3,"Southland/ Otago",NA
"2912","4","19","Serious Assault Resulting in Injury","Matahina-Minginui.",1329800,"Whakatane District.",3,"Bay Of Plenty",NA
"2913","4","19","Serious Assault Resulting in Injury","Mayfair.",1498700,"Hastings District.",3,"Hawkes Bay/ Gisborne",NA
"2914","4","19","Common Assault","Foxton.",1780600,"Horowhenua District.",3,"Wellington/ Lower-Central North",NA
"2915","4","19","Common Assault","New Plymouth Central.",1594300,"New Plymouth District.",3,"West Coast/ Upper-Central North",NA
"2916","4","19","Common Assault","Highbury.",1820000,"Palmerston North City.",3,"West Coast/ Upper-Central North",NA
"2917","4","19","Common Assault","Avon Loop.",2657200,"Christchurch City.",3,"Canterbury",NA
