"","year","Event","Meshblock","Alert.Level","Location","number_of_victimizations"
"1263","18","Common Assault",607400,3,"Auckland",NA
"1264","18","Common Assault",434200,3,"Auckland",NA
"1265","18","Common Assault",2624402,3,"Canterbury",NA
"1266","18","Serious Assault Not Resulting in Injury",2240400,3,"Wellington/ Lower-Central North",NA
"1267","18","Serious Assault Resulting in Injury",389800,3,"Auckland",NA
"1268","18","Serious Assault Resulting in Injury",926600,3,"Waikato",NA
"1269","18","Common Assault",1428100,3,"Hawkes Bay/ Gisborne",NA
"1270","18","Common Assault",684000,3,"Auckland",NA
"1271","18","Common Assault",2494600,3,"Canterbury",NA
"1272","18","Common Assault",860800,3,"Waikato",NA
"1273","18","Serious Assault Not Resulting in Injury",1879501,3,"Wellington/ Lower-Central North",NA
"1274","18","Serious Assault Resulting in Injury",1288100,3,"Waikato",NA
"1275","18","Common Assault",438000,3,"Auckland",NA
"1276","18","Common Assault",1304000,3,"Bay Of Plenty",NA
"1277","18","Common Assault",2521900,3,"Canterbury",NA
"1278","18","Common Assault",2155200,3,"Wellington/ Lower-Central North",NA
"1279","18","Common Assault",2472700,3,"Canterbury",NA
"1280","18","Serious Assault Not Resulting in Injury",1888200,3,"Wellington/ Lower-Central North",NA
"1281","18","Serious Assault Not Resulting in Injury",84600,3,"Northland",NA
"1282","18","Serious Assault Resulting in Injury",1277401,3,"Waikato",NA
"1283","18","Common Assault",2213600,3,"Wellington/ Lower-Central North",NA
"1284","18","Common Assault",432800,3,"Auckland",NA
"1285","18","Common Assault",2658100,3,"Canterbury",NA
